sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
3.1378;2.1343;4.553;3.8967;4.0171;8.057;-0.5283;2.5194;2.1944;0.11;-0.3355;1.6178;1.515;-17.46;-12.91;-15.84;109.37;-24.17;-25.81;2.0;1002.64;13.465;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;4;2018-02-21 20:33:22:495
3.1378;2.1343;4.553;3.8967;4.0171;8.057;-0.5283;2.5194;2.1944;0.11;-0.3355;1.6178;1.515;-17.46;-12.91;-15.84;109.37;-24.17;-25.81;2.0;1002.64;13.465;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;15;2018-02-21 20:33:22:506
3.1378;2.1343;4.553;3.8967;4.0171;8.057;-0.5283;2.5194;2.1944;0.11;-0.3355;1.6178;1.395;-17.46;-12.91;-15.84;109.37;-24.17;-25.81;2.0;1002.64;13.465;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;24;2018-02-21 20:33:22:515
3.1378;2.1343;4.553;3.8967;4.0171;8.057;-0.5283;2.5194;2.1944;0.11;-0.3355;1.6178;1.395;-17.46;-12.91;-15.84;109.37;-24.17;-25.81;2.0;1002.64;13.465;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;35;2018-02-21 20:33:22:526
3.1378;2.1343;4.553;3.8967;4.0171;8.057;-0.5283;2.5194;2.1944;0.11;-0.3355;1.6178;1.395;-17.46;-12.91;-15.84;109.37;-24.17;-25.81;2.0;1002.64;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;44;2018-02-21 20:33:22:535
3.1378;2.1343;4.553;6.6243;3.019;6.5757;-1.422;-1.301;-1.2736;0.11;-0.3355;1.6178;1.395;-17.46;-12.91;-15.84;109.37;-24.17;-25.81;2.0;1002.64;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;55;2018-02-21 20:33:22:546
3.1378;2.1343;4.553;6.6243;3.019;6.5757;-1.422;-1.301;-1.2736;0.0803;-0.5953;2.015;1.395;-17.46;-12.91;-15.84;109.37;-24.17;-25.81;2.0;1002.64;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;64;2018-02-21 20:33:22:555
3.1378;2.1343;4.553;6.6243;3.019;6.5757;-1.422;-1.301;-1.2736;0.0803;-0.5953;2.015;1.395;-17.46;-12.91;-15.84;109.37;-24.17;-25.81;2.0;1002.64;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;75;2018-02-21 20:33:22:566
3.1378;2.1343;4.553;6.6243;3.019;6.5757;-1.422;-1.301;-1.2736;0.0803;-0.5953;2.015;1.395;-17.46;-12.91;-15.84;109.37;-24.17;-25.81;2.0;1002.64;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;85;2018-02-21 20:33:22:576
5.4637;2.6748;9.2592;6.6243;3.019;6.5757;-1.422;-1.301;-1.2736;0.0803;-0.5953;2.015;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.64;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;95;2018-02-21 20:33:22:586
5.4637;2.6748;9.2592;6.6243;3.019;6.5757;-1.422;-1.301;-1.2736;0.0803;-0.5953;2.015;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.64;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;105;2018-02-21 20:33:22:596
5.4637;2.6748;9.2592;6.6243;3.019;6.5757;-1.422;-1.301;-1.2736;0.0803;-0.5953;2.015;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.64;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;114;2018-02-21 20:33:22:605
5.4637;2.6748;9.2592;6.6243;3.019;6.5757;-1.422;-1.301;-1.2736;0.0803;-0.5953;2.015;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.64;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;125;2018-02-21 20:33:22:616
5.4637;2.6748;9.2592;6.6243;3.019;6.5757;-1.422;-1.301;-1.2736;0.0803;-0.5953;2.015;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;134;2018-02-21 20:33:22:625
5.4637;2.6748;9.2592;6.6243;3.019;6.5757;-1.422;-1.301;-1.2736;0.0803;-0.5953;2.015;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;145;2018-02-21 20:33:22:636
5.4637;2.6748;9.2592;6.6243;3.019;6.5757;-1.422;-1.301;-1.2736;0.0803;-0.5953;2.015;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;155;2018-02-21 20:33:22:646
5.4637;2.6748;9.2592;6.6243;3.019;6.5757;4.7672;-4.9179;6.4014;0.0803;-0.5953;2.015;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;164;2018-02-21 20:33:22:655
5.4637;2.6748;9.2592;8.0462;2.2324;5.1489;4.7672;-4.9179;6.4014;0.0803;-0.5953;2.015;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;175;2018-02-21 20:33:22:666
5.4637;2.6748;9.2592;8.0462;2.2324;5.1489;4.7672;-4.9179;6.4014;1.2647;-3.2716;1.9171;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;185;2018-02-21 20:33:22:676
5.4637;2.6748;9.2592;8.0462;2.2324;5.1489;4.7672;-4.9179;6.4014;1.2647;-3.2716;1.9171;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;195;2018-02-21 20:33:22:686
5.4637;2.6748;9.2592;8.0462;2.2324;5.1489;4.7672;-4.9179;6.4014;1.2647;-3.2716;1.9171;1.395;-26.71;-6.01;-8.59;80.39;-17.92;-45.21;2.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;205;2018-02-21 20:33:22:696
5.4637;2.6748;9.2592;8.0462;2.2324;5.1489;4.7672;-4.9179;6.4014;1.2647;-3.2716;1.9171;1.395;-31.06;1.04;0.41;67.52;-13.15;-57.38;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;214;2018-02-21 20:33:22:705
5.4637;2.6748;9.2592;8.0462;2.2324;5.1489;4.7672;-4.9179;6.4014;1.2647;-3.2716;1.9171;1.395;-31.06;1.04;0.41;67.52;-13.15;-57.38;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;225;2018-02-21 20:33:22:716
1.5473;11.5491;2.2047;8.0462;2.2324;5.1489;4.7672;-4.9179;6.4014;1.2647;-3.2716;1.9171;1.395;-31.06;1.04;0.41;67.52;-13.15;-57.38;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;235;2018-02-21 20:33:22:726
1.5473;11.5491;2.2047;8.0462;2.2324;5.1489;4.7672;-4.9179;6.4014;1.2647;-3.2716;1.9171;1.395;-31.06;1.04;0.41;67.52;-13.15;-57.38;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;244;2018-02-21 20:33:22:735
1.5473;11.5491;2.2047;8.0462;2.2324;5.1489;4.7672;-4.9179;6.4014;1.2647;-3.2716;1.9171;1.395;-31.06;1.04;0.41;67.52;-13.15;-57.38;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;255;2018-02-21 20:33:22:746
1.5473;11.5491;2.2047;8.0462;2.2324;5.1489;4.7672;-4.9179;6.4014;1.2647;-3.2716;1.9171;1.395;-31.06;1.04;0.41;67.52;-13.15;-57.38;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;265;2018-02-21 20:33:22:756
1.5473;11.5491;2.2047;8.0462;2.2324;5.1489;4.7672;-4.9179;6.4014;1.2647;-3.2716;1.9171;1.395;-31.06;1.04;0.41;67.52;-13.15;-57.38;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;274;2018-02-21 20:33:22:765
1.5473;11.5491;2.2047;8.0462;2.2324;5.1489;6.539;-1.2408;0.404;1.2647;-3.2716;1.9171;1.395;-31.06;1.04;0.41;67.52;-13.15;-57.38;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;285;2018-02-21 20:33:22:776
1.5473;11.5491;2.2047;8.0462;2.2324;5.1489;6.539;-1.2408;0.404;1.2647;-3.2716;1.9171;1.395;-31.06;1.04;0.41;67.52;-13.15;-57.38;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;294;2018-02-21 20:33:22:785
1.5473;11.5491;2.2047;8.9633;3.5314;1.8506;6.539;-1.2408;0.404;2.215;-1.4353;-0.5956;1.395;-31.06;1.04;0.41;67.52;-13.15;-57.38;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;305;2018-02-21 20:33:22:796
1.5473;11.5491;2.2047;8.9633;3.5314;1.8506;6.539;-1.2408;0.404;2.215;-1.4353;-0.5956;1.395;-31.06;1.04;0.41;67.52;-13.15;-57.38;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;315;2018-02-21 20:33:22:806
1.5473;11.5491;2.2047;8.9633;3.5314;1.8506;6.539;-1.2408;0.404;2.215;-1.4353;-0.5956;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.61;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;325;2018-02-21 20:33:22:816
1.5473;11.5491;2.2047;8.9633;3.5314;1.8506;6.539;-1.2408;0.404;2.215;-1.4353;-0.5956;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.63;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;335;2018-02-21 20:33:22:826
1.5473;11.5491;2.2047;8.9633;3.5314;1.8506;6.539;-1.2408;0.404;2.215;-1.4353;-0.5956;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.63;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;344;2018-02-21 20:33:22:835
1.5473;11.5491;2.2047;8.9633;3.5314;1.8506;6.539;-1.2408;0.404;2.215;-1.4353;-0.5956;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.63;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;355;2018-02-21 20:33:22:846
1.5473;11.5491;2.2047;8.9633;3.5314;1.8506;6.539;-1.2408;0.404;2.215;-1.4353;-0.5956;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.63;23.576;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;365;2018-02-21 20:33:22:856
9.5622;3.612;8.3419;8.9633;3.5314;1.8506;6.539;-1.2408;0.404;2.215;-1.4353;-0.5956;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;374;2018-02-21 20:33:22:865
9.5622;3.612;8.3419;8.9633;3.5314;1.8506;6.539;-1.2408;0.404;2.215;-1.4353;-0.5956;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;385;2018-02-21 20:33:22:876
9.5622;3.612;8.3419;8.9633;3.5314;1.8506;-11.0539;3.8519;-7.5694;2.215;-1.4353;-0.5956;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;395;2018-02-21 20:33:22:886
9.5622;3.612;8.3419;8.9633;3.5314;1.8506;-11.0539;3.8519;-7.5694;2.215;-1.4353;-0.5956;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;405;2018-02-21 20:33:22:896
9.5622;3.612;8.3419;8.9633;3.5314;1.8506;-11.0539;3.8519;-7.5694;2.215;-1.4353;-0.5956;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;415;2018-02-21 20:33:22:906
9.5622;3.612;8.3419;7.5288;5.9;2.1778;-11.0539;3.8519;-7.5694;2.215;-1.4353;-0.5956;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;424;2018-02-21 20:33:22:915
9.5622;3.612;8.3419;7.5288;5.9;2.1778;-11.0539;3.8519;-7.5694;2.3471;2.5948;-1.0784;1.395;-29.66;2.79;16.26;60.67;-21.1;-78.33;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;435;2018-02-21 20:33:22:926
9.5622;3.612;8.3419;7.5288;5.9;2.1778;-11.0539;3.8519;-7.5694;2.3471;2.5948;-1.0784;1.395;-28.26;-0.06;14.31;56.9;-36.97;-73.87;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;445;2018-02-21 20:33:22:936
9.5622;3.612;8.3419;7.5288;5.9;2.1778;-11.0539;3.8519;-7.5694;2.3471;2.5948;-1.0784;1.395;-28.26;-0.06;14.31;56.9;-36.97;-73.87;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;454;2018-02-21 20:33:22:945
9.5622;3.612;8.3419;7.5288;5.9;2.1778;-11.0539;3.8519;-7.5694;2.3471;2.5948;-1.0784;1.395;-28.26;-0.06;14.31;56.9;-36.97;-73.87;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;465;2018-02-21 20:33:22:956
9.5622;3.612;8.3419;7.5288;5.9;2.1778;-11.0539;3.8519;-7.5694;2.3471;2.5948;-1.0784;1.395;-28.26;-0.06;14.31;56.9;-36.97;-73.87;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;474;2018-02-21 20:33:22:965
9.5622;3.612;8.3419;7.5288;5.9;2.1778;-11.0539;3.8519;-7.5694;2.3471;2.5948;-1.0784;1.395;-28.26;-0.06;14.31;56.9;-36.97;-73.87;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;485;2018-02-21 20:33:22:976
9.5622;3.612;8.3419;7.5288;5.9;2.1778;-11.0539;3.8519;-7.5694;2.3471;2.5948;-1.0784;1.395;-28.26;-0.06;14.31;56.9;-36.97;-73.87;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;495;2018-02-21 20:33:22:986
9.5622;3.612;8.3419;7.5288;5.9;2.1778;-11.0539;3.8519;-7.5694;2.3471;2.5948;-1.0784;1.395;-28.26;-0.06;14.31;56.9;-36.97;-73.87;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;505;2018-02-21 20:33:22:996
15.092;10.1771;9.8398;7.5288;5.9;2.1778;-8.4635;-0.5767;2.1837;2.3471;2.5948;-1.0784;1.395;-28.26;-0.06;14.31;56.9;-36.97;-73.87;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;514;2018-02-21 20:33:23:005
15.092;10.1771;9.8398;7.5288;5.9;2.1778;-8.4635;-0.5767;2.1837;2.3471;2.5948;-1.0784;1.395;-28.26;-0.06;14.31;56.9;-36.97;-73.87;0.0;1002.63;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;525;2018-02-21 20:33:23:016
15.092;10.1771;9.8398;7.5288;5.9;2.1778;-8.4635;-0.5767;2.1837;2.3471;2.5948;-1.0784;1.395;-28.26;-0.06;14.31;56.9;-36.97;-73.87;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;535;2018-02-21 20:33:23:026
15.092;10.1771;9.8398;7.0029;6.2949;2.7514;-8.4635;-0.5767;2.1837;2.3471;2.5948;-1.0784;1.395;-28.26;-0.06;14.31;56.9;-36.97;-73.87;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;544;2018-02-21 20:33:23:035
15.092;10.1771;9.8398;7.0029;6.2949;2.7514;-8.4635;-0.5767;2.1837;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;555;2018-02-21 20:33:23:046
15.092;10.1771;9.8398;7.0029;6.2949;2.7514;-8.4635;-0.5767;2.1837;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;565;2018-02-21 20:33:23:056
15.092;10.1771;9.8398;7.0029;6.2949;2.7514;-8.4635;-0.5767;2.1837;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;574;2018-02-21 20:33:23:065
15.092;10.1771;9.8398;7.0029;6.2949;2.7514;-8.4635;-0.5767;2.1837;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;584;2018-02-21 20:33:23:075
15.092;10.1771;9.8398;7.0029;6.2949;2.7514;-8.4635;-0.5767;2.1837;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;595;2018-02-21 20:33:23:086
15.092;10.1771;9.8398;7.0029;6.2949;2.7514;-8.4635;-0.5767;2.1837;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;604;2018-02-21 20:33:23:095
15.092;10.1771;9.8398;7.0029;6.2949;2.7514;-8.4635;-0.5767;2.1837;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;615;2018-02-21 20:33:23:106
15.092;10.1771;9.8398;7.0029;6.2949;2.7514;1.292;2.7212;1.3897;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;624;2018-02-21 20:33:23:115
15.092;10.1771;9.8398;7.0029;6.2949;2.7514;1.292;2.7212;1.3897;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;634;2018-02-21 20:33:23:125
15.092;10.1771;9.8398;7.0029;6.2949;2.7514;1.292;2.7212;1.3897;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;645;2018-02-21 20:33:23:136
5.6158;5.5089;2.8198;7.0029;6.2949;2.7514;1.292;2.7212;1.3897;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;655;2018-02-21 20:33:23:146
5.6158;5.5089;2.8198;7.0029;6.2949;2.7514;1.292;2.7212;1.3897;-1.0086;-1.6216;-1.0131;1.395;-26.86;-5.46;11.46;64.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;664;2018-02-21 20:33:23:155
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.292;2.7212;1.3897;-1.0086;-1.6216;-1.0131;1.395;-21.71;-12.51;7.61;85.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;675;2018-02-21 20:33:23:166
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.292;2.7212;1.3897;0.2744;-1.0019;-0.9503;1.395;-21.71;-12.51;7.61;85.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;685;2018-02-21 20:33:23:176
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.292;2.7212;1.3897;0.2744;-1.0019;-0.9503;1.395;-21.71;-12.51;7.61;85.23;-39.92;-68.55;0.0;1002.69;20.847;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;695;2018-02-21 20:33:23:186
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.292;2.7212;1.3897;0.2744;-1.0019;-0.9503;1.395;-21.71;-12.51;7.61;85.23;-39.92;-68.55;0.0;1002.69;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;705;2018-02-21 20:33:23:196
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.292;2.7212;1.3897;0.2744;-1.0019;-0.9503;1.395;-21.71;-12.51;7.61;85.23;-39.92;-68.55;0.0;1002.69;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;714;2018-02-21 20:33:23:205
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.292;2.7212;1.3897;0.2744;-1.0019;-0.9503;1.395;-21.71;-12.51;7.61;85.23;-39.92;-68.55;0.0;1002.69;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;724;2018-02-21 20:33:23:215
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.292;2.7212;1.3897;0.2744;-1.0019;-0.9503;1.395;-21.71;-12.51;7.61;85.23;-39.92;-68.55;0.0;1002.7;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;735;2018-02-21 20:33:23:226
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.8305;0.7988;0.8718;0.2744;-1.0019;-0.9503;1.395;-21.71;-12.51;7.61;85.23;-39.92;-68.55;0.0;1002.7;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;744;2018-02-21 20:33:23:235
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.8305;0.7988;0.8718;0.2744;-1.0019;-0.9503;0.469;-21.71;-12.51;7.61;85.23;-39.92;-68.55;0.0;1002.7;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;755;2018-02-21 20:33:23:246
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.8305;0.7988;0.8718;0.2744;-1.0019;-0.9503;0.469;-21.71;-12.51;7.61;85.23;-39.92;-68.55;0.0;1002.7;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;765;2018-02-21 20:33:23:256
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.8305;0.7988;0.8718;0.2744;-1.0019;-0.9503;0.469;-21.71;-12.51;7.61;85.23;-39.92;-68.55;0.0;1002.7;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;774;2018-02-21 20:33:23:265
5.6158;5.5089;2.8198;5.8132;7.0705;3.5287;1.8305;0.7988;0.8718;0.2744;-1.0019;-0.9503;0.469;-17.56;-12.81;18.21;100.66;-46.12;-58.74;0.0;1002.7;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;785;2018-02-21 20:33:23:276
4.6038;6.2537;0.9875;6.7441;7.068;0.8925;1.8305;0.7988;0.8718;0.2744;-1.0019;-0.9503;0.469;-17.56;-12.81;18.21;100.66;-46.12;-58.74;0.0;1002.7;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;795;2018-02-21 20:33:23:286
4.6038;6.2537;0.9875;6.7441;7.068;0.8925;1.8305;0.7988;0.8718;-0.5872;-2.5539;-0.0541;0.469;-17.56;-12.81;18.21;100.66;-46.12;-58.74;0.0;1002.7;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;804;2018-02-21 20:33:23:295
4.6038;6.2537;0.9875;6.7441;7.068;0.8925;1.8305;0.7988;0.8718;-0.5872;-2.5539;-0.0541;0.469;-17.56;-12.81;18.21;100.66;-46.12;-58.74;0.0;1002.7;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;815;2018-02-21 20:33:23:306
4.6038;6.2537;0.9875;6.7441;7.068;0.8925;1.8305;0.7988;0.8718;-0.5872;-2.5539;-0.0541;0.469;-17.56;-12.81;18.21;100.66;-46.12;-58.74;0.0;1002.7;28.78;30.281033;-97.70921;482.45;NaN;;1.44;51.870968;87.3;13 / 20;825;2018-02-21 20:33:23:316
